año,trimestre,provincia,hasta_512kbps,512_kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,30mbps_x,otras_velocidades,total_x,accesos_100_hogares,banda_ancha_fija,dial_up,total_y
2022,1,Neuquén,137,1123,39856,15623,11163,2654,71238,7885,149679,74.17,149208,471,149679
2022,1,Río Negro,116,1383,35565,18859,26926,14144,37729,22652,157374,67.04,156821,553,157374
2022,1,Salta,114,1725,35576,68246,6313,2214,76838,6489,197515,56.11,19751,5,197515
2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,2465,88178,43.55,87888,290,88178
2022,1,San Luis,61,643,8287,3837,9802,68612,13,28589,119844,80.72,119659,185,119844
2022,1,Santa Cruz,51,6898,1271,11502,12277,2628,2551,485,49102,43.34,48898,204,49102
2022,1,Santa Fe,468,12435,143796,208361,84787,58018,34417,18444,870479,77.3,870364,115,870479
2022,1,Santiago Del Estero,178,1401,3022,6117,13542,849,8309,792,116461,47.17,116459,2,116461
2022,1,Tierra Del Fuego,24,894,12849,1564,18034,1767,982,2421,52611,98.29,52298,313,52611
2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,273,245584,57.39,245554,30,245584
2021,4,Buenos Aires,37821,11026,35295,331292,297296,196021,3259793,22958,4509157,75.66,4502772,6385,4509157
2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,0,1412119,111.27,1409935,2184,1412119
2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,2233,5909,55.25,59089,1,5909
2021,4,Chaco,461,112,18845,22678,21937,13692,58435,7585,143745,44.05,14374,5,143745
2021,4,Chubut,126,1294,63698,39568,31175,578,2904,15763,160308,82.57,159364,944,160308
2021,4,Córdoba,100,2479,184548,130892,76246,41198,5387,12607,98677,84.51,986693,77,98677
2021,4,Corrientes,67,645,2883,26368,22922,10087,39911,7082,135912,45.51,135908,4,135912
2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,7729,16583,265046,63.16,265024,22,265046
2021,4,Formosa,84,0,22908,6983,6811,1135,13775,1967,53663,34.45,53663,0,53663
2021,4,Jujuy,58,175,22446,16793,38134,564,33421,2324,113915,56.92,113915,0,113915
2021,4,La Pampa,301,493,6484,9082,12259,4821,12184,3027,107007,89.57,106834,173,107007
2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,0,83128,77.92,83124,4,83128
2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,366,267587,47.51,266783,804,267587
2021,4,Misiones,51,5,41916,23554,26721,15954,54596,8335,171132,49.06,171132,0,171132
2021,4,Neuquén,140,940,42313,13264,10515,331,69217,7767,147466,73.3,146989,477,147466
2021,4,Río Negro,156,1174,38373,19878,31255,413,36142,22645,153753,65.69,153189,564,153753
2021,4,Salta,114,20,40673,69324,6642,3535,72622,6475,199405,56.81,199399,6,199405
2021,4,San Juan,44,1442,28906,10955,23978,398,98,4435,79958,39.59,79667,291,79958
2021,4,San Luis,62,264,855,4276,9107,67363,9,29218,118849,80.3,118662,187,118849
2021,4,Santa Cruz,52,297,20305,11641,13054,177,876,491,48486,43.05,48276,210,48486
2021,4,Santa Fe,467,581,169706,206856,8569,62349,322015,18777,866441,77.09,866265,176,866441
2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,793,115861,47.05,115859,2,115861
2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,258,52357,98.4,52042,315,52357
2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,240,238639,55.93,238609,30,238639
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728,4251609,71.68,4246425,5184,4251609
2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,0,1413405,111.27,1411797,1608,1413405
2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,2206,56254,52.71,56253,1,56254
2021,3,Chaco,301,112,22545,20986,23852,14412,49705,7958,139871,42.96,139868,3,139871
2021,3,Chubut,104,105,89168,26281,18538,532,1643,14907,156066,80.71,155266,800,156066
2021,3,Córdoba,99,2452,204989,141285,6505,47198,476459,9256,946788,81.28,946726,62,946788
